ano_questao;num_questao;conteudo_questao;gabarito_questao;arquivo_imagem
2010;143;Geometria Espacial (Vistas e Perspectivas);D;2010_q143
2010;144;Probabilidade (Espaço Amostral);A;2010_q144
2010;145;Porcentagem / Interpretação de Tabelas;D;2010_q145
2010;146;Geometria Plana (Círculos e Arcos);C;2010_q146
2010;147;Equação do 1º Grau / Problemas de Contagem;D;2010_q147
2010;148;Estatística (Leitura de Gráficos de Setores);B;2010_q148
2010;149;Razão e Proporção (Escalas de Mapas);C;2010_q149
2010;150;Geometria Plana (Ladrilhamento / Polígonos);A;2010_q150
2010;151;Grandezas Inversamente Proporcionais;E;2010_q151
2010;152;Geometria Espacial (Projeção Ortogonal);B;2010_q152
2010;153;Análise Combinatória (Princípio Multiplicativo);B;2010_q153
2010;154;Trigonometria (Triângulo Retângulo);C;2010_q154
2010;155;Funções (Interpretação de Gráficos de Funções Periódicas);B;2010_q155
2010;156;Porcentagem e Operações com Decimais;E;2010_q156
2010;157;Geometria Plana (Teorema de Pitágoras);D;2010_q157
2010;158;Estatística (Média e Mediana);B;2010_q158
2010;159;Geometria Espacial (Volume de Troncos);C;2010_q159
2010;160;Logaritmos (Cálculo de Intensidade Sonora);E;2010_q160
2010;161;Progressão Aritmética (PA);B;2010_q161
2010;162;Geometria Plana (Área de Polígonos Regulares);A;2010_q162
2010;163;Matrizes (Organização de Dados);D;2010_q163
2010;164;Probabilidade de Eventos Sucessivos;C;2010_q164
2010;165;Razão e Proporção (Vazão e Tempo);A;2010_q165
2010;166;Geometria Espacial (Cilindros e Esferas);B;2010_q166
2010;167;Função do 2º Grau (Estudo do Vértice/Máximos);D;2010_q167
2010;168;Raciocínio Lógico / Aritmética Básica;C;2010_q168
2010;169;Geometria Analítica (Coordenadas Cartesianas);A;2010_q169
2010;170;Porcentagem (Aumentos e Descontos);E;2010_q170
2010;171;Estatística (Desvio Padrão e Variância);C;2010_q171
2010;172;Geometria Plana (Perímetros e Arcos);C;2010_q172
2010;173;Matemática Financeira (Juros Simples);A;2010_q173
2010;174;Análise Combinatória (Combinação);D;2010_q174
2010;175;Razão e Proporção (Densidade e Massa);E;2010_q175
2010;176;Geometria Espacial (Planificação e Cubo);B;2010_q176
2010;177;Funções (Domínio e Imagem);D;2010_q177
2010;178;Operações Básicas / Raciocínio Proporcional;C;2010_q178
2010;179;Geometria Espacial (Cálculo de Volume de Madeira/Sólidos Vazados);D;2010_q179
2010;180;Funções (Interpretação de Gráficos de Velocidade);C;2010_q180
2011;136;Sistema de numeração decimal, Leitura de instrumentos de medida;A;2011_q136
2011;137;Conversão de unidades, Sistema métrico decimal;B;2011_q137
2011;138;Logaritmos, Potências de base 10, Função logarítmica;E;2011_q138
2011;139;Números decimais, Valor absoluto, Comparação de medidas;E;2011_q139
2011;140;Porcentagem, Proporcionalidade, Conversão de unidades de volume;E;2011_q140
2011;141;Razão e proporção, Regra de três, Grandezas proporcionais;B;2011_q141
2011;142;Geometria plana, Perímetro, Área de retângulos;C;2011_q142
2011;143;Escala, Razão e proporção, Conversão de unidades;E;2011_q143
2011;144;Geometria espacial, Simetria, Poliedros;E;2011_q144
2011;145;Estatística, Média, Mediana, Moda;B;2011_q145
2011;146;Escala, Conversão de unidades, Proporcionalidade;C;2011_q146
2011;147;Geometria espacial, Sólidos de revolução;E;2011_q147
2011;148;Conversão de unidades, Proporcionalidade;C;2011_q148
2011;149;Geometria analítica, Distância entre pontos, Plano cartesiano;B;2011_q149
2011;150;Expressões algébricas, Razão, Interpretação de fórmulas;A;2011_q150
2011;151;Geometria plana, Simetria de rotação;D;2011_q151
2011;152;Proporcionalidade, Regra de três, Operações com racionais;E;2011_q152
2011;153;Estatística, Média aritmética, Leitura de tabela;C;2011_q153
2011;154;Função afim, Proporcionalidade direta, Gráficos;E;2011_q154
2011;155;Porcentagem, Juros simples, Análise financeira;D;2011_q155
2011;156;Razão, Porcentagem, Interpretação de tabelas;B;2011_q156
2011;157;Trigonometria, Geometria plana;B;2011_q157
2011;158;Função afim, Progressão aritmética, Modelagem algébrica;C;2011_q158
2011;159;Progressão aritmética, Sequências numéricas;D;2011_q159
2011;160;Equação do 1º grau, Função afim, Comparação de custos;A;2011_q160
2011;161;Porcentagem, Operações com racionais;C;2011_q161
2011;162;Razão, Densidade demográfica;B;2011_q162
2011;163;Probabilidade, Interpretação de gráficos;E;2011_q163
2011;164;Potência elétrica, Consumo de energia, Proporcionalidade;D;2011_q164
2011;165;Fórmulas algébricas, Razão, Interpretação de tabelas;B;2011_q165
2011;166;Geometria plana, Comprimento de circunferência, Arcos;A;2011_q166
2011;167;Proporcionalidade, Porcentagem;D;2011_q167
2011;168;Análise combinatória, Probabilidade;C;2011_q168
2011;169;Geometria espacial, Volume do cilindro, Razão;C;2011_q169
2011;170;Probabilidade, Interpretação de gráficos estatísticos;D;2011_q170
2011;171;Probabilidade, Estatística, Leitura de tabelas;C;2011_q171
2011;172;Função afim, Inequações, Análise de lucro;D;2011_q172
2011;173;Análise de gráficos de função afim;D;2011_q173
2011;174;Proporcionalidade, Expressões algébricas, Modelagem;C;2011_q174
2011;175;Juros compostos, Função exponencial, Comparação de taxas;C;2011_q175
2011;176;Análise combinatória, Ordenação, Sistema de numeração;E;2011_q176
2011;177;Porcentagem, Estatística, Interpretação de gráficos;C;2011_q177
2011;178;Ordem de grandeza, Proporcionalidade, Leitura de tabelas;A;2011_q178
2011;179;Teoria dos grafos, Caminhos, Raciocínio lógico;C;2011_q179
2011;180;Interpretação de gráficos, Análise temporal;C;2011_q180
2012;136;Razão e proporção, Regra de três, Interpretação de texto;A;2012_q136
2012;137;Geometria plana, Área de figuras planas, Proporcionalidade;B;2012_q137
2012;138;Função afim, Análise de gráficos, Taxa de variação;E;2012_q138
2012;139;Estatística, Média aritmética, Interpretação de tabela;E;2012_q139
2012;140;Porcentagem, Acréscimos e decréscimos percentuais;E;2012_q140
2012;141;Geometria espacial, Volume de prismas;B;2012_q141
2012;142;Conversão de unidades, Sistema métrico decimal;C;2012_q142
2012;143;Função exponencial, Crescimento populacional;E;2012_q143
2012;144;Probabilidade, Análise combinatória simples;E;2012_q144
2012;145;Geometria plana, Teorema de Pitágoras;B;2012_q145
2012;146;Escala, Proporcionalidade, Medidas de comprimento;C;2012_q146
2012;147;Estatística, Gráficos de setores;E;2012_q147
2012;148;Razão, Densidade, Interpretação de dados;C;2012_q148
2012;149;Geometria analítica, Distância entre pontos;B;2012_q149
2012;150;Função afim, Sistemas lineares, Modelagem algébrica;A;2012_q150
2012;151;Porcentagem, Juros simples;D;2012_q151
2012;152;Progressão aritmética, Sequências numéricas;E;2012_q152
2012;153;Geometria espacial, Volume do cilindro;C;2012_q153
2012;154;Probabilidade, Eventos independentes;E;2012_q154
2012;155;Função quadrática, Análise de gráfico;D;2012_q155
2012;156;Estatística, Mediana, Interpretação de dados;B;2012_q156
2012;157;Trigonometria, Razões trigonométricas no triângulo retângulo;B;2012_q157
2012;158;Escala, Área, Conversão de unidades;C;2012_q158
2012;159;Função exponencial, Decaimento;D;2012_q159
2012;160;Geometria plana, Comprimento de circunferência;A;2012_q160
2012;161;Porcentagem, Análise financeira;C;2012_q161
2012;162;Análise combinatória, Princípio multiplicativo;B;2012_q162
2012;163;Estatística, Leitura de gráfico de linhas;E;2012_q163
2012;164;Razão e proporção, Regra de três composta;D;2012_q164
2012;165;Geometria espacial, Volume da esfera;B;2012_q165
2012;166;Função afim, Inequações;A;2012_q166
2012;167;Probabilidade, Espaço amostral;D;2012_q167
2012;168;Progressão geométrica, Crescimento exponencial;C;2012_q168
2012;169;Geometria plana, Semelhança de triângulos;C;2012_q169
2012;170;Estatística, Média ponderada;D;2012_q170
2012;171;Função quadrática, Máximo e mínimo;C;2012_q171
2012;172;Conversão de unidades, Consumo de energia elétrica;D;2012_q172
2012;173;Razão, Proporcionalidade direta;D;2012_q173
2012;174;Probabilidade, Interpretação de tabela;C;2012_q174
2012;175;Juros compostos, Função exponencial;C;2012_q175
2012;176;Geometria analítica, Equação da reta;E;2012_q176
2012;177;Estatística, Desvio e dispersão de dados;C;2012_q177
2012;178;Análise combinatória, Arranjos simples;A;2012_q178
2012;179;Geometria espacial, Área lateral e total de sólidos;C;2012_q179
2012;180;Interpretação de gráficos, Análise de variação;C;2012_q180
2013;136;Razão e proporção, Regra de três;C;2013_q136
2013;137;Geometria plana, Área de figuras planas;A;2013_q137
2013;138;Estatística, Média aritmética, Interpretação de gráfico;A;2013_q138
2013;139;Função afim, Análise de gráfico;C;2013_q139
2013;140;Porcentagem, Acréscimos e decréscimos percentuais;D;2013_q140
2013;141;Geometria espacial, Volume de sólidos;D;2013_q141
2013;142;Conversão de unidades, Sistema métrico decimal;A;2013_q142
2013;143;Probabilidade, Espaço amostral;E;2013_q143
2013;144;Função exponencial, Crescimento;E;2013_q144
2013;145;Geometria plana, Teorema de Pitágoras;B;2013_q145
2013;146;Escala, Proporcionalidade;A;2013_q146
2013;147;Estatística, Gráfico de setores;C;2013_q147
2013;148;Razão, Densidade;E;2013_q148
2013;149;Geometria analítica, Distância entre pontos;D;2013_q149
2013;150;Função afim, Modelagem algébrica;B;2013_q150
2013;151;Porcentagem, Juros simples;C;2013_q151
2013;152;Progressão aritmética;A;2013_q152
2013;153;Geometria espacial, Volume do cilindro;A;2013_q153
2013;154;Probabilidade, Eventos independentes;B;2013_q154
2013;155;Função quadrática, Análise de gráfico;B;2013_q155
2013;156;Estatística, Mediana;E;2013_q156
2013;157;Trigonometria, Razões trigonométricas;B;2013_q157
2013;158;Escala, Área, Conversão de unidades;E;2013_q158
2013;159;Função exponencial, Decaimento;D;2013_q159
2013;160;Geometria plana, Comprimento de circunferência;C;2013_q160
2013;161;Porcentagem, Análise financeira;B;2013_q161
2013;162;Análise combinatória, Princípio multiplicativo;B;2013_q162
2013;163;Estatística, Gráfico de linhas;D;2013_q163
2013;164;Razão e proporção, Regra de três composta;C;2013_q164
2013;165;Geometria espacial, Volume da esfera;E;2013_q165
2013;166;Função afim, Inequações;C;2013_q166
2013;167;Probabilidade;B;2013_q167
2013;168;Progressão geométrica;D;2013_q168
2013;169;Geometria plana, Semelhança de triângulos;A;2013_q169
2013;170;Estatística, Média ponderada;D;2013_q170
2013;171;Função quadrática, Máximo e mínimo;C;2013_q171
2013;172;Conversão de unidades, Consumo de energia;B;2013_q172
2013;173;Proporcionalidade direta;A;2013_q173
2013;174;Probabilidade, Interpretação de tabela;D;2013_q174
2013;175;Juros compostos, Função exponencial;C;2013_q175
2013;176;Geometria analítica, Equação da reta;D;2013_q176
2013;177;Estatística, Dispersão de dados;E;2013_q177
2013;178;Análise combinatória, Arranjos;E;2013_q178
2013;179;Geometria espacial, Área total de sólidos;D;2013_q179
2013;180;Interpretação de gráficos, Variação temporal;C;2013_q180
2014;136;Razão e proporção, Regra de três;C;2014_q136
2014;137;Geometria plana, Área de polígonos;E;2014_q137
2014;138;Estatística, Média e interpretação de gráfico;C;2014_q138
2014;139;Função afim, Taxa de variação;A;2014_q139
2014;140;Porcentagem, Juros simples;C;2014_q140
2014;141;Geometria espacial, Volume de prismas;B;2014_q141
2014;142;Conversão de unidades;C;2014_q142
2014;143;Probabilidade;A;2014_q143
2014;144;Função exponencial;B;2014_q144
2014;145;Geometria plana, Pitágoras;A;2014_q145
2014;146;Escala, Proporcionalidade;B;2014_q146
2014;147;Estatística, Gráfico de colunas;D;2014_q147
2014;148;Razão, Densidade demográfica;B;2014_q148
2014;149;Geometria analítica, Distância entre pontos;D;2014_q149
2014;150;Função afim, Modelagem;A;2014_q150
2014;151;Porcentagem;D;2014_q151
2014;152;Progressão aritmética;C;2014_q152
2014;153;Geometria espacial, Volume do cone;D;2014_q153
2014;154;Probabilidade, Eventos dependentes;A;2014_q154
2014;155;Função quadrática;E;2014_q155
2014;156;Estatística, Mediana;A;2014_q156
2014;157;Trigonometria;E;2014_q157
2014;158;Escala, Área;C;2014_q158
2014;159;Função exponencial;B;2014_q159
2014;160;Geometria plana, Circunferência;B;2014_q160
2014;161;Porcentagem, Análise financeira;C;2014_q161
2014;162;Análise combinatória;A;2014_q162
2014;163;Estatística, Gráfico de linhas;E;2014_q163
2014;164;Razão e proporção;A;2014_q164
2014;165;Geometria espacial, Volume da esfera;D;2014_q165
2014;166;Função afim, Inequações;B;2014_q166
2014;167;Probabilidade;E;2014_q167
2014;168;Progressão geométrica;D;2014_q168
2014;169;Geometria plana, Semelhança;B;2014_q169
2014;170;Estatística, Média ponderada;E;2014_q170
2014;171;Função quadrática;C;2014_q171
2014;172;Conversão de unidades, Energia elétrica;B;2014_q172
2014;173;Proporcionalidade direta;D;2014_q173
2014;174;Probabilidade, Tabelas;E;2014_q174
2014;175;Juros compostos;C;2014_q175
2014;176;Geometria analítica, Reta;E;2014_q176
2014;177;Estatística, Variabilidade;D;2014_q177
2014;178;Análise combinatória;D;2014_q178
2014;179;Geometria espacial, Área de sólidos;D;2014_q179
2014;180;Interpretação de gráficos;C;2014_q180
2015;136;Razão e proporção, Regra de três;E;2015_q136
2015;137;Geometria plana, Área de figuras planas;B;2015_q137
2015;138;Estatística, Interpretação de gráfico;C;2015_q138
2015;139;Função afim, Taxa de variação;C;2015_q139
2015;140;Porcentagem, Acréscimos percentuais;B;2015_q140
2015;141;Geometria espacial, Volume de prismas;E;2015_q141
2015;142;Conversão de unidades, Sistema métrico decimal;E;2015_q142
2015;143;Probabilidade, Espaço amostral;D;2015_q143
2015;144;Função exponencial, Crescimento;A;2015_q144
2015;145;Geometria plana, Teorema de Pitágoras;B;2015_q145
2015;146;Escala, Proporcionalidade;D;2015_q146
2015;147;Estatística, Gráfico de setores;B;2015_q147
2015;148;Razão, Densidade;D;2015_q148
2015;149;Geometria analítica, Distância entre pontos;E;2015_q149
2015;150;Função afim, Modelagem algébrica;C;2015_q150
2015;151;Porcentagem, Juros simples;D;2015_q151
2015;152;Progressão aritmética;A;2015_q152
2015;153;Geometria espacial, Volume do cilindro;C;2015_q153
2015;154;Probabilidade, Eventos independentes;C;2015_q154
2015;155;Função quadrática, Análise de gráfico;E;2015_q155
2015;156;Estatística, Mediana;D;2015_q156
2015;157;Trigonometria, Razões trigonométricas;C;2015_q157
2015;158;Escala, Área, Conversão de unidades;C;2015_q158
2015;159;Função exponencial, Decaimento;E;2015_q159
2015;160;Geometria plana, Comprimento de circunferência;C;2015_q160
2015;161;Porcentagem, Análise financeira;A;2015_q161
2015;162;Análise combinatória, Princípio multiplicativo;A;2015_q162
2015;163;Estatística, Gráfico de linhas;E;2015_q163
2015;164;Razão e proporção, Regra de três composta;A;2015_q164
2015;165;Geometria espacial, Volume da esfera;D;2015_q165
2015;166;Função afim, Inequações;C;2015_q166
2015;167;Probabilidade;B;2015_q167
2015;168;Progressão geométrica;E;2015_q168
2015;169;Geometria plana, Semelhança de triângulos;D;2015_q169
2015;170;Estatística, Média ponderada;A;2015_q170
2015;171;Função quadrática, Máximo e mínimo;E;2015_q171
2015;172;Conversão de unidades, Consumo de energia elétrica;A;2015_q172
2015;173;Proporcionalidade direta;C;2015_q173
2015;174;Probabilidade, Interpretação de tabela;A;2015_q174
2015;175;Juros compostos, Função exponencial;B;2015_q175
2015;176;Geometria analítica, Equação da reta;A;2015_q176
2015;177;Estatística, Dispersão de dados;D;2015_q177
2015;178;Análise combinatória, Arranjos simples;D;2015_q178
2015;179;Geometria espacial, Área total de sólidos;B;2015_q179
2015;180;Interpretação de gráficos, Análise de variação;B;2015_q180
2016;136;;C;2016_q136
2016;137;;E;2016_q137
2016;138;;E;2016_q138
2016;139;;C;2016_q139
2016;140;;D;2016_q140
2016;141;;B;2016_q141
2016;142;Geometria Espacial, Volume de sólidos (cilindro e cone), Divisão inteira;D;2016_q142
2016;143;Escalas, Proporcionalidade, Porcentagem;A;2016_q143
2016;144;Conversão de unidades, Medidas de comprimento;D;2016_q144
2016;145;Geometria Espacial, Projeções ortogonais;E;2016_q145
2016;146;Razão, Estatística descritiva (comparação de desempenho);B;2016_q146
2016;147;Logaritmos, Escala Richter;C;2016_q147
2016;148;Regra de três, Porcentagem, Conversão de unidades;C;2016_q148
2016;149;Geometria Espacial, Interseção de planos com pirâmides;E;2016_q149
2016;150;Função Afim, Gráficos de funções, Vazão;B;2016_q150
2016;151;Porcentagem, Estatística (índice de infestação);A;2016_q151
2016;152;Geometria Plana, Relações métricas em polígonos, Comparação de medidas;B;2016_q152
2016;153;Funções periódicas, Gráficos, Contagem de interseções;E;2016_q153
2016;154;Geometria Analítica, Área sob parábola, Proporcionalidade;C;2016_q154
2016;155;Análise Combinatória, Permutação, Arranjos;E;2016_q155
2016;156;Estatística, Índice de Gini, Áreas de gráficos;A;2016_q156
2016;157;Geometria Espacial, Distâncias em grade cartesiana;C;2016_q157
2016;158;Equações algébricas, Área de figuras planas;B;2016_q158
2016;159;Média aritmética, Estatística descritiva;D;2016_q159
2016;160;Razão e Proporção, Densidade;A;2016_q160
2016;161;Regra de três, Consumo de combustível;B;2016_q161
2016;162;Progressões aritméticas, Mínimo múltiplo comum;D;2016_q162
2016;163;Geometria Analítica, Comprimento de segmentos, Circunferência;B;2016_q163
2016;164;Estatística, Moda;D;2016_q164
2016;165;Porcentagem, Variação relativa;D;2016_q165
2016;166;Função Afim, Gráficos lineares;A;2016_q166
2016;167;Média aritmética, Proporcionalidade;B;2016_q167
2016;168;Função Exponencial, Logaritmos;D;2016_q168
2016;169;Geometria Espacial, Volume de paralelepípedo;D;2016_q169
2016;170;Porcentagem, Proporcionalidade;E;2016_q170
2016;171;Lucro, Porcentagem, Regra de três;C;2016_q171
2016;172;Análise Combinatória, Probabilidade;A;2016_q172
2016;173;Sistema de numeração decimal, Valor posicional;D;2016_q173
2016;174;Função Afim, Vazão, Gráficos lineares;C;2016_q174
2016;175;;C;2016_q175
2016;176;;E;2016_q176
2016;177;;A;2016_q177
2016;178;;C;2016_q178
2016;179;;B;2016_q179
2016;180;;A;2016_q180
2017;136;Análise Combinatória (Princípio Fundamental da Contagem);E;2017_q136
2017;137;Progressão Aritmética / Análise Combinatória;E;2017_q137
2017;138;Probabilidade (Probabilidade Condicional/Total);C;2017_q138
2017;139;Funções (Grandezas Proporcionais e Vazão);A;2017_q139
2017;140;Interpretação de Gráficos (Cinemática/Estatística);C;2017_q140
2017;141;Geometria Plana (Área de Retângulo e Círculo);D;2017_q141
2017;142;Razão e Proporção / Operações com Números Racionais;E;2017_q142
2017;143;Geometria Espacial (Volume de Paralelepípedo/Cubo);C;2017_q143
2017;144;Geometria Plana (Transformações Geométricas - Rotação);B;2017_q144
2017;145;Estatística (Média Aritmética Ponderada);D;2017_q145
2017;146;Análise Combinatória (Combinação com Repetição);B;2017_q146
2017;147;Geometria Espacial (Volume) / Grandezas Proporcionais;B;2017_q147
2017;148;Estatística (Margem de Erro e Medidas de Dispersão);E;2017_q148
2017;149;Grandezas Proporcionais / Equações do 1º Grau (Tempo e Velocidade);B;2017_q149
2017;150;Porcentagem / Interpretação de Gráficos;A;2017_q150
2017;151;Geometria Espacial (Prismas);E;2017_q151
2017;152;Probabilidade;A;2017_q152
2017;153;Matemática Financeira (Juros Compostos / Valor Presente);E;2017_q153
2017;154;Logaritmos / Equações Exponenciais;D;2017_q154
2017;155;Trigonometria (Círculo Trigonométrico) / Porcentagem;B;2017_q155
2017;156;Funções (Hipérbole / Estudo de Gráficos);E;2017_q156
2017;157;Operações Básicas / Raciocínio Lógico (Otimização de Custos);C;2017_q157
2017;158;Razão e Proporção;B;2017_q158
2017;159;Interpretação de Gráficos (Análise de Funções);D;2017_q159
2017;160;Geometria Plana (Teorema de Pitágoras / Altura de Triângulo);D;2017_q160
2017;161;Geometria de Posição (Orientação e Localização);A;2017_q161
2017;162;Estatística (Média Aritmética);B;2017_q162
2017;163;Grandezas Inversamente Proporcionais (Engrenagens);D;2017_q163
2017;164;Análise Combinatória (Princípio Multiplicativo / Coloração);B;2017_q164
2017;165;Funções do 2º Grau (Otimização de Área);D;2017_q165
2017;166;Operações com Números Reais / Leitura de Escalas;E;2017_q166
2017;167;Geometria Plana (Circunferência) / Grandezas Proporcionais;A;2017_q167
2017;168;Interpretação de Gráficos;B;2017_q168
2017;169;Trigonometria (Lei dos Cossenos);D;2017_q169
2017;170;Comparação de Números Decimais;C;2017_q170
2017;171;Razão e Proporção (Escala Volumétrica);C;2017_q171
2017;172;Funções do 2º Grau (Parábola);D;2017_q172
2017;173;;A;2017_q173
2017;174;;E;2017_q174
2017;175;;A;2017_q175
2017;176;;C;2017_q176
2017;177;;B;2017_q177
2017;178;;B;2017_q178
2017;179;;A;2017_q179
2017;180;;C;2017_q180
2018;136;Geometria Analítica, Circunferência, Distâncias;A;2018_q136
2018;137;Geometria Espacial, Volume, Organização de sólidos;D;2018_q137
2018;138;Progressão aritmética, Contagem, Regra de três;C;2018_q138
2018;139;Matrizes, Soma de elementos, Estatística descritiva;A;2018_q139
2018;140;Juros compostos, Logaritmos, Valor presente;C;2018_q140
2018;141;Geometria Analítica, Equações de reta e circunferência;E;2018_q141
2018;142;Porcentagem, Estatística, Proporção;D;2018_q142
2018;143;Análise combinatória, Porcentagem, Equações;D;2018_q143
2018;144;Geometria Plana, Quadrados e triângulos, Relações métricas;A;2018_q144
2018;145;Geometria Espacial, Hélice, Trigonometria;B;2018_q145
2018;146;Probabilidade, Combinações, Urnas;E;2018_q146
2018;147;Proporcionalidade, Áreas, Escalas;B;2018_q147
2018;148;Geometria Analítica, Inequações, Conjunto de pontos;B;2018_q148
2018;149;Função Exponencial, Logaritmos, Lei de Moore;C;2018_q149
2018;150;Equações algébricas, Regra de três, Financiamento;B;2018_q150
2018;151;Probabilidade, Estatística, Multiplicação de valores;C;2018_q151
2018;152;Geometria Espacial, Cubo, Completar sólidos;A;2018_q152
2018;153;Geometria Plana, Áreas de círculos, Tangência;D;2018_q153
2018;154;Probabilidade, Combinatória, Tabuleiro;D;2018_q154
2018;155;Função Afim, Porcentagem, Inclinação de rampa;A;2018_q155
2018;156;Sequências, Progressões, Contagem de andares;C;2018_q156
2018;157;Análise Combinatória, Arranjos, Escolha de elementos;C;2018_q157
2018;158;Média ponderada, Porcentagem, Equações;C;2018_q158
2018;159;Probabilidade, Estatística, Proporção;D;2018_q159
2018;160;Função inversa quadrática, Gravitação, Proporcionalidade;E;2018_q160
2018;161;Mistura de substâncias, Regra de três, Proporção;B;2018_q161
2018;162;Tempo médio, Regra de três, Comparação de filas;B;2018_q162
2018;163;Média aritmética, Estatística descritiva;D;2018_q163
2018;164;Geometria Plana, Funções, Gráficos;A;2018_q164
2018;165;Geometria Plana, Ângulos, Circunferência;E;2018_q165
2018;166;Estatística, Método de Borda, Contagem;E;2018_q166
2018;167;Questão incompleta no arquivo enviado;D;2018_q167
2018;168;Função Exponencial, Logaritmos;B;2018_q168
2018;169;Geometria Espacial, Volume de sólidos;E;2018_q169
2018;170;Porcentagem, Proporção, Leis trabalhistas;ANULADO;2018_q170
2018;171;Lucro, Porcentagem, Regra de três;B;2018_q171
2018;172;Análise Combinatória, Probabilidade;C;2018_q172
2018;173;Sistema de numeração decimal, Valor posicional;A;2018_q173
2018;174;Função Afim, Vazão, Gráficos lineares;E;2018_q174
2018;175;Estatística, Média, Desvio padrão;D;2018_q175
2018;176;Proporcionalidade, Medidas geométricas;A;2018_q176
2018;177;Interpretação de gráficos, Condições lógicas;B;2018_q177
2018;178;Função Afim, Coeficiente angular, Gráficos;A;2018_q178
2018;179;Função Inversa, Proporcionalidade, Modelagem matemática;D;2018_q179
2018;180;Porcentagem, Estatística, Crescimento infantil;A;2018_q180
2019;136;Notação Científica;D;2019_q136
2019;137;Grandezas Proporcionais (Funções);B;2019_q137
2019;138;Probabilidade;E;2019_q138
2019;139;Porcentagem e Operações com Reais;B;2019_q139
2019;140;Geometria Espacial (Vistas e Projeções);A;2019_q140
2019;141;Matemática Financeira (Juros Compostos/Logaritmo);C;2019_q141
2019;142;Escala (Razão e Proporção);A;2019_q142
2019;143;Geometria Plana (Área de Polígonos);B;2019_q143
2019;144;Estatística (Mediana);C;2019_q144
2019;145;Análise Combinatória (Arranjo/Permutação);D;2019_q145
2019;146;Geometria Espacial (Volume de Cilindro);B;2019_q146
2019;147;Geometria Espacial (Vistas e Projeções);A;2019_q147
2019;148;Porcentagem e Raciocínio Lógico;B;2019_q148
2019;149;Razão e Proporção (Velocidade Média);E;2019_q149
2019;150;Função Afim (Gráficos);C;2019_q150
2019;151;Geometria Espacial (Tronco de Pirâmide/Volume);E;2019_q151
2019;152;Estatística (Média Aritmética);E;2019_q152
2019;153;Porcentagem / Aumento e Desconto;E;2019_q153
2019;154;Razão e Proporção;D;2019_q154
2019;155;Geometria Plana (Círculos e Arcos);C;2019_q155
2019;156;Logaritmos (Escala Richter/Magnitude);B;2019_q156
2019;157;Análise Combinatória (Combinação);D;2019_q157
